product,stock,threshold,lead_time_days,price
"Samsung 55"" 4K QLED Smart TV",23,3,5,72999.0
"LG 65"" OLED evo C3 Smart TV",1,3,5,129999.0
"Sony Bravia 43"" 4K HDR TV",11,5,5,48999.0
"Mi 40"" Full HD Android TV",39,5,5,21999.0
"OnePlus 50"" 4K Smart TV",18,5,5,37999.0
"TCL 32"" HD Smart TV",35,8,5,14999.0
"Hisense 58"" 4K UHD TV",2,5,5,42999.0
Daikin 1.5 Ton 5★ Inverter Split AC,30,5,5,44999.0
LG 1.5 Ton Dual Inverter AC,25,5,5,38999.0
Voltas 1 Ton 3★ Split AC,40,5,5,28999.0
Blue Star 2 Ton 5★ Inverter AC,15,3,5,62999.0
Hitachi 1 Ton 5★ Inverter AC,20,5,5,35999.0
Panasonic 1.5 Ton Cube AC,12,5,5,41999.0
Samsung 324L Double Door Frost-Free,18,5,5,34999.0
LG 215L Single Door Energy Star,22,8,5,19999.0
Whirlpool 292L Frost-Free Fridge,15,5,5,29999.0
Haier 565L French Door Fridge,28,3,5,74999.0
Godrej 190L Direct Cool Fridge,30,8,5,14999.0
LG 7 kg Front Load Washing Machine,16,5,5,36999.0
Samsung 8 kg Fully Automatic Top Load,20,5,5,28999.0
Bosch 7 kg Serie 6 Front Load,25,5,5,44999.0
Whirlpool 6.5 kg Semi-Automatic,25,8,5,15999.0
IFB 8 kg Senator Smart WW,28,5,5,49999.0
Samsung Galaxy S24 5G 256GB,50,3,5,74999.0
OnePlus 12R 5G 256GB,60,5,5,39999.0
Redmi Note 13 Pro+ 5G 256GB,80,5,5,28999.0
Apple iPhone 15 128GB,30,3,5,79900.0
Vivo V29 5G 8GB+256GB,45,5,5,33999.0
Realme 12 Pro+ 5G 256GB,55,5,5,29999.0
OPPO Reno 11 5G 256GB,40,5,5,31999.0
Dell Inspiron 15 Core i5 16GB RAM,20,3,5,54999.0
HP Pavilion 14 Ryzen 5 8GB RAM,18,5,5,48999.0
Lenovo IdeaPad Slim 5 Ryzen 7,15,3,5,62499.0
ASUS VivoBook 15 Core i3 8GB,22,5,5,38999.0
Acer Aspire Lite Ryzen 3,25,5,5,32999.0
Apple MacBook Air M2 8GB,10,3,5,114900.0
Sony WH-1000XM5 Wireless Headphones,40,5,5,24999.0
JBL Bar 5.0 Multibeam Soundbar,25,8,5,19999.0
boAt Aavante Bar 1500 Soundbar,80,15,5,4999.0
Bose QuietComfort 45 Headphones,20,5,5,29900.0
JBL Flip 6 Bluetooth Speaker,60,8,5,9999.0
Harman Kardon Onyx Studio 7,18,8,5,16999.0
IFB 25L Convection Microwave,28,8,5,14999.0
Philips XXL Air Fryer HD9860,35,8,5,12999.0
Morphy Richards Icon Superb Mixer,60,15,5,4499.0
Prestige Electric Induction Cooktop,70,15,5,3499.0
Havells OTG 35L Bake & Broil,30,8,5,7999.0
Kent Grand+ Water Purifier RO,22,8,5,16999.0
Dyson V8 Absolute Cordless Vacuum,12,5,5,34999.0
Eureka Forbes Trendy Zip Vacuum,50,15,5,3499.0
Usha Maxx Air Tower Fan 400mm,45,15,5,4999.0
Bajaj 750W Room Heater,55,15,5,2499.0
Philips Wet & Dry Iron GC1905,80,15,5,1499.0
Philips LED Bulb 9W (Pack of 10),250,15,5,499.0
Syska LED Strip Light 5M RGB,120,15,5,1299.0
Havells Flomax 1200mm Fan With Light,40,8,5,5999.0
CP Plus 5MP CCTV Kit 4-Channel,25,8,5,12999.0
Hikvision 2MP IP PTZ Camera,20,8,5,8499.0
Godrej 10L Electronic Safe,30,8,5,6999.0
